ID,Surverse
3260-01D_2019-05-02,false
3260-01D_2019-05-09,false
3260-01D_2019-05-10,false
3260-01D_2019-05-15,true
3260-01D_2019-05-20,true
3260-01D_2019-05-23,true
3260-01D_2019-05-24,true
3260-01D_2019-05-26,false
3260-01D_2019-05-30,true
3350-07D_2019-05-01,false
3350-07D_2019-05-02,false
3350-07D_2019-05-08,true
3350-07D_2019-05-09,true
3350-07D_2019-05-10,false
3350-07D_2019-05-11,true
3350-07D_2019-05-13,true
3350-07D_2019-05-14,true
3350-07D_2019-05-18,true
3350-07D_2019-05-19,false
3350-07D_2019-05-20,false
3350-07D_2019-05-23,false
3350-07D_2019-05-24,false
3350-07D_2019-05-25,true
3350-07D_2019-05-27,false
3350-07D_2019-05-31,false
4240-01D_2019-05-07,true
4240-01D_2019-05-09,true
4240-01D_2019-05-10,true
4240-01D_2019-05-15,false
4240-01D_2019-05-21,false
4240-01D_2019-05-22,true
4240-01D_2019-05-23,true
4240-01D_2019-05-24,true
4240-01D_2019-05-25,false
4350-01D_2019-05-03,true
4350-01D_2019-05-04,true
4350-01D_2019-05-07,true
4350-01D_2019-05-08,true
4350-01D_2019-05-10,false
4350-01D_2019-05-11,false
4350-01D_2019-05-12,false
4350-01D_2019-05-21,false
4350-01D_2019-05-22,false
4350-01D_2019-05-23,false
4350-01D_2019-05-29,true
4350-01D_2019-05-30,false
4380-01D_2019-05-02,false
4380-01D_2019-05-04,false
4380-01D_2019-05-05,true
4380-01D_2019-05-06,false
4380-01D_2019-05-08,false
4380-01D_2019-05-09,true
4380-01D_2019-05-10,false
4380-01D_2019-05-17,true
4380-01D_2019-05-18,true
4380-01D_2019-05-28,true
4380-01D_2019-05-30,true
3260-01D_2019-06-02,false
3260-01D_2019-06-09,true
3260-01D_2019-06-11,true
3260-01D_2019-06-24,false
3260-01D_2019-06-29,false
3350-07D_2019-06-02,false
3350-07D_2019-06-04,true
3350-07D_2019-06-05,true
3350-07D_2019-06-11,false
3350-07D_2019-06-14,false
3350-07D_2019-06-15,false
3350-07D_2019-06-16,false
3350-07D_2019-06-17,false
3350-07D_2019-06-18,true
3350-07D_2019-06-19,true
3350-07D_2019-06-22,false
3350-07D_2019-06-25,false
3350-07D_2019-06-26,false
3350-07D_2019-06-29,false
3350-07D_2019-06-30,true
4240-01D_2019-06-01,false
4240-01D_2019-06-08,true
4240-01D_2019-06-11,false
4240-01D_2019-06-12,true
4240-01D_2019-06-13,true
4240-01D_2019-06-20,false
4240-01D_2019-06-25,false
4240-01D_2019-06-28,true
4240-01D_2019-06-29,false
4240-01D_2019-06-30,false
4350-01D_2019-06-08,true
4350-01D_2019-06-11,false
4350-01D_2019-06-13,false
4350-01D_2019-06-14,false
4350-01D_2019-06-15,false
4350-01D_2019-06-16,true
4350-01D_2019-06-19,false
4350-01D_2019-06-23,false
4350-01D_2019-06-24,true
4350-01D_2019-06-25,true
4380-01D_2019-06-01,false
4380-01D_2019-06-11,false
4380-01D_2019-06-13,true
4380-01D_2019-06-18,false
4380-01D_2019-06-20,false
4380-01D_2019-06-24,false
4380-01D_2019-06-25,true
4380-01D_2019-06-26,false
4380-01D_2019-06-28,true
4380-01D_2019-06-30,false
3260-01D_2019-07-01,false
3260-01D_2019-07-02,true
3260-01D_2019-07-05,true
3260-01D_2019-07-08,false
3260-01D_2019-07-10,false
3260-01D_2019-07-11,true
3260-01D_2019-07-14,false
3260-01D_2019-07-21,true
3260-01D_2019-07-28,true
3260-01D_2019-07-30,true
3260-01D_2019-07-31,true
3350-07D_2019-07-03,true
3350-07D_2019-07-04,true
3350-07D_2019-07-05,false
3350-07D_2019-07-06,false
3350-07D_2019-07-08,true
3350-07D_2019-07-11,true
3350-07D_2019-07-13,true
3350-07D_2019-07-17,false
3350-07D_2019-07-19,false
3350-07D_2019-07-21,true
3350-07D_2019-07-23,true
3350-07D_2019-07-25,false
3350-07D_2019-07-27,false
3350-07D_2019-07-28,false
3350-07D_2019-07-29,false
3350-07D_2019-07-30,false
4240-01D_2019-07-03,true
4240-01D_2019-07-04,true
4240-01D_2019-07-06,false
4240-01D_2019-07-07,false
4240-01D_2019-07-08,true
4240-01D_2019-07-11,false
4240-01D_2019-07-14,false
4240-01D_2019-07-16,true
4240-01D_2019-07-20,true
4240-01D_2019-07-21,false
4240-01D_2019-07-25,true
4240-01D_2019-07-29,true
4240-01D_2019-07-30,false
4350-01D_2019-07-04,false
4350-01D_2019-07-06,true
4350-01D_2019-07-08,true
4350-01D_2019-07-09,true
4350-01D_2019-07-10,false
4350-01D_2019-07-11,true
4350-01D_2019-07-17,true
4350-01D_2019-07-19,true
4350-01D_2019-07-23,false
4350-01D_2019-07-24,false
4350-01D_2019-07-27,true
4350-01D_2019-07-30,true
4350-01D_2019-07-31,false
4380-01D_2019-07-01,true
4380-01D_2019-07-02,true
4380-01D_2019-07-11,false
4380-01D_2019-07-17,true
4380-01D_2019-07-19,false
4380-01D_2019-07-21,true
4380-01D_2019-07-26,true
4380-01D_2019-07-30,true
3260-01D_2019-08-01,true
3260-01D_2019-08-09,true
3260-01D_2019-08-16,false
3260-01D_2019-08-17,true
3260-01D_2019-08-21,false
3260-01D_2019-08-22,false
3260-01D_2019-08-25,true
3260-01D_2019-08-26,true
3260-01D_2019-08-27,false
3260-01D_2019-08-28,false
3260-01D_2019-08-30,true
3350-07D_2019-08-03,true
3350-07D_2019-08-09,true
3350-07D_2019-08-14,false
3350-07D_2019-08-19,true
3350-07D_2019-08-24,true
3350-07D_2019-08-25,true
3350-07D_2019-08-26,false
3350-07D_2019-08-28,false
3350-07D_2019-08-30,true
4240-01D_2019-08-02,true
4240-01D_2019-08-13,false
4240-01D_2019-08-15,true
4240-01D_2019-08-17,true
4240-01D_2019-08-20,false
4240-01D_2019-08-21,false
4240-01D_2019-08-24,false
4240-01D_2019-08-28,false
4240-01D_2019-08-29,false
4350-01D_2019-08-01,false
4350-01D_2019-08-04,true
4350-01D_2019-08-06,true
4350-01D_2019-08-09,true
4350-01D_2019-08-11,false
4350-01D_2019-08-12,false
4350-01D_2019-08-14,false
4350-01D_2019-08-17,true
4350-01D_2019-08-18,false
4350-01D_2019-08-19,true
4350-01D_2019-08-21,false
4350-01D_2019-08-23,true
4350-01D_2019-08-24,false
4350-01D_2019-08-25,true
4350-01D_2019-08-27,true
4350-01D_2019-08-29,false
4380-01D_2019-08-02,true
4380-01D_2019-08-03,false
4380-01D_2019-08-07,true
4380-01D_2019-08-08,true
4380-01D_2019-08-09,true
4380-01D_2019-08-10,false
4380-01D_2019-08-12,false
4380-01D_2019-08-14,true
4380-01D_2019-08-15,true
4380-01D_2019-08-16,false
4380-01D_2019-08-17,false
4380-01D_2019-08-24,true
4380-01D_2019-08-27,true
3260-01D_2019-09-01,false
3260-01D_2019-09-02,false
3260-01D_2019-09-05,false
3260-01D_2019-09-07,false
3260-01D_2019-09-14,false
3260-01D_2019-09-16,false
3260-01D_2019-09-17,true
3260-01D_2019-09-19,true
3260-01D_2019-09-24,false
3350-07D_2019-09-01,true
3350-07D_2019-09-02,true
3350-07D_2019-09-04,false
3350-07D_2019-09-07,false
3350-07D_2019-09-08,true
3350-07D_2019-09-12,false
3350-07D_2019-09-13,true
3350-07D_2019-09-14,false
3350-07D_2019-09-19,true
3350-07D_2019-09-23,false
3350-07D_2019-09-24,false
3350-07D_2019-09-26,true
3350-07D_2019-09-28,true
3350-07D_2019-09-30,false
4240-01D_2019-09-04,false
4240-01D_2019-09-07,false
4240-01D_2019-09-13,true
4240-01D_2019-09-15,true
4240-01D_2019-09-16,true
4240-01D_2019-09-18,false
4240-01D_2019-09-25,false
4240-01D_2019-09-28,false
4350-01D_2019-09-01,true
4350-01D_2019-09-02,true
4350-01D_2019-09-04,true
4350-01D_2019-09-05,true
4350-01D_2019-09-06,false
4350-01D_2019-09-07,false
4350-01D_2019-09-08,false
4350-01D_2019-09-09,true
4350-01D_2019-09-10,true
4350-01D_2019-09-13,true
4350-01D_2019-09-18,true
4350-01D_2019-09-19,false
4350-01D_2019-09-26,false
4350-01D_2019-09-29,true
4380-01D_2019-09-01,false
4380-01D_2019-09-02,false
4380-01D_2019-09-04,true
4380-01D_2019-09-05,false
4380-01D_2019-09-12,false
4380-01D_2019-09-13,false
4380-01D_2019-09-16,true
4380-01D_2019-09-22,false
4380-01D_2019-09-26,false
4380-01D_2019-09-28,false
4380-01D_2019-09-29,false
4380-01D_2019-09-30,false
